identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers,collection
9804,3,7.166666666666667,9.0,5.0,21.5,1,1,Doodles
9786,4,1.52,1.68,1.35,6.08,1,1,Doodles
9742,6,11.228333333333332,23.23,2.45,67.37,1,1,Doodles
9705,7,3.624142857142857,8.0,1.2,25.369,1,1,Doodles
9912,19,4.263294736842106,21.0,1.0,81.0026,1,1,Doodles
9870,8,1.1890875,1.23,1.16,9.5127,1,1,Doodles
9855,20,3.2106000000000003,6.739,1.18,64.212,1,1,Doodles
9878,60,2.8131091333333336,13.0,0.49996,168.786548,1,1,Doodles
9796,30,1.2947471333333334,9.69,0.42,38.842414,1,1,Doodles
9700,6,3.348333333333333,5.0,0.9,20.09,1,1,Doodles
9809,3,7.225,16.5,1.185,21.675,1,1,Doodles
9858,4,4.525,7.0,1.19,18.1,1,1,Doodles
9886,6,3.0141666666666667,11.0,1.02,18.085,1,1,Doodles
9844,6,1.2599166666666666,1.5,1.0,7.5595,1,1,Doodles
9727,3,2.3446666666666665,2.59,2.0,7.034,1,1,Doodles
9821,7,8.6,19.0,3.05,60.2,1,1,Doodles
9877,10,1.4667326,2.99,0.6279,14.667326,1,1,Doodles
9739,13,4.176639076923077,15.0,1.052308,54.296308,1,1,Doodles
9810,4,6.6806,17.88,1.2334,26.7224,1,1,Doodles
9720,7,2.95567,12.42069,1.0,20.68969,1,1,Doodles
9851,2,1.4049999999999998,1.43,1.38,2.81,1,1,Doodles
9701,13,4.834992307692308,18.48,1.1,62.8549,1,1,Doodles
9849,12,2.999825,7.3769,0.46,35.9979,1,1,Doodles
9787,2,1.545,1.99,1.1,3.09,1,1,Doodles
9728,21,3.289630523809524,11.5,0.931,69.082241,1,1,Doodles
9785,37,4.740196486486487,25.0,0.78,175.38727,1,1,Doodles
9816,4,5.875,10.4,1.4,23.5,1,1,Doodles
9835,2,1.4395,1.68,1.199,2.879,1,1,Doodles
9891,1,3.33,3.33,3.33,3.33,1,1,Doodles
9798,3,1.6,2.85,0.95,4.8,1,1,Doodles
9743,3,2.2263333333333333,2.99,1.189,6.679,1,1,Doodles
9791,6,5.628166666666666,17.15,0.95,33.769,1,1,Doodles
9713,9,1.7581773333333333,3.55,0.42,15.823596,1,1,Doodles
9753,18,4.585105388888889,15.0,0.74,82.531897,1,1,Doodles
9732,3,4.266666666666667,6.0,1.8,12.8,1,1,Doodles
9917,6,8.448333333333332,14.39,0.9,50.69,1,1,Doodles
9736,2,2.9705,4.0,1.941,5.941,1,1,Doodles
9792,2,6.975,13.0,0.95,13.95,1,1,Doodles
9812,2,8.495000000000001,12.49,4.5,16.990000000000002,1,1,Doodles
9706,16,6.2534375,17.99,1.0,100.055,1,1,Doodles
